서비스ID,서비스명,서비스 요약,상세 링크,시도명,시군구명,담당부서명,신청방법,지원주기,지급방식,생애주기,대상특성,관심주제,조회수,최종수정일
WLF00000300,'힘내라!' 청년 도서 구입비 지원 사업,"청년층의 취업관련 도서 구입 지원을 통한 경제적 부담 완화
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000300&wlfareInfoReldBztpCd=02,전라남도,광양시,전라남도 광양시 교육보육센터 도서관과,인터넷,1회성,현물지급,청년,,,4197,20250904
WLF00004006,청년희망적금,사회진입 초기의 근로청년들에게 자산형성의 토대 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004006&wlfareInfoReldBztpCd=02,대구광역시,,대구광역시 청년여성교육국 청년정책과,"인터넷, 모바일",1회성,현금지급,청년,,"일자리, 서민금융",34047,20250904
WLF00004192,충청남도 행복키움수당,저출산 극복 및 자녀양육에 대한 경제적 지원 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004192&wlfareInfoReldBztpCd=02,충청남도,,충청남도 인구전략국 인구정책과,"방문, 인터넷",월,현금지급,"임신 · 출산, 영유아",,"임신·출산, 서민금융",3866,20250827
WLF00000759,최중증장애인 야간순회방문서비스 지원,상시돌봄이 필요한 최중증장애인에 대한 야간(10시 ~ 익일 06시) 순회방문서비스 지원으로 24시간 상시돌봄 체계 구축 및 장애인의 삶의 질 향상에 기여,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000759&wlfareInfoReldBztpCd=02,대구광역시,,대구광역시 보건복지국 장애인복지과,방문,월,기타,"아동, 청년, 중장년, 청소년",장애인,,1349,20250827
WLF00002772,탈시설 장애인 자립정착금 지원,탈시설 장애인의 지역사회 정착 및 자립기반 조성 지원 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002772&wlfareInfoReldBztpCd=02,대구광역시,,대구광역시 보건복지국 장애인복지과,방문,1회성,현금지급,,장애인,"서민금융, 보호·돌봄",1625,20250827
WLF00002751,장애인 보조기기 수리지원사업,장애인의 이동수단인 전동휠체어 등의 보조기구 수리비를 지원하여 장애인의 자립생활지원 및 사회참여 기회 확대 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002751&wlfareInfoReldBztpCd=02,대구광역시,,대구광역시 보건복지국 장애인복지과,방문,년,현금지급,,"장애인, 저소득",서민금융,1372,20250827
WLF00004099,장애인활동지원 추가지원사업,장애인 활동지원의 국고시간 부족으로 기본욕구 충족과 자립생활에 어려움이 있는 중증장애인에게 추가 지원함으로 장애인의 자립생활 및 사회참여 기회 증진,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004099&wlfareInfoReldBztpCd=02,대구광역시,,대구광역시 보건복지국 장애인복지과,방문,월,"전자바우처(바우처), 기타","청소년, 청년, 중장년, 아동",장애인,,948,20250827
WLF00006168,구미시 관외대학교 통학생 철도교통비 지원사업,관외 대학에 재학 중인 청년들의 철도 교통비를 지원하여 교통비 부담을 경감하기 위한 사업입니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006168&wlfareInfoReldBztpCd=02,경상북도,구미시,경상북도 구미시 미래교육돌봄국 인구청년과,인터넷,반기,지역화폐,"청소년, 청년",,"서민금융, 일자리",225,20250822
WLF00002747,장애인가정 출산 및 영아양육지원,"장애인가정에서 신생아 출산시 출산지원금 및 영아 양육지원금을 지급하여, 장애인가정의 생활안정과 출산 장려를 도모하기 위함.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002747&wlfareInfoReldBztpCd=02,부산광역시,사하구,부산광역시 사하구 주민복지국 노인장애인복지과,방문,월,현금지급,"노년, 청년, 중장년, 청소년, 임신 · 출산",장애인,"임신·출산, 서민금융",734,20250822
WLF00001818,100세시대 어르신일자리 사업,강원도형 어르신일자리 제공을 통하여 어르신 소득보장 및 사회활동 기회 제공을 통한 삶의 질 향상,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001818&wlfareInfoReldBztpCd=02,강원특별자치도,,강원특별자치도 복지보건국 노인복지과,방문,월,현금지급,노년,,"서민금융, 입양·위탁, 일자리",1334,20250822
WLF00000578,보훈명예수당 지급,"
국가보훈대상자들에 대한 예우 및 복지 향상",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000578&wlfareInfoReldBztpCd=02,경상남도,함양군,경상남도 함양군 경제복지국 사회복지과,방문,월,현금지급,,보훈대상자,서민금융,310,20250822
WLF00003632,아동복지시설 꿈나무 예술제,아동복지시설 아동들의 정서 함양과 건전한 인격형성을 도모하고 상호 협동심 및 우정을 다지는 계기 마련,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003632&wlfareInfoReldBztpCd=02,충청북도,,충청북도 보건복지국 복지정책과,,1회성,기타,,,,324,20250822
WLF00003799,결식아동 급식지원,지역실정과 아동의 가정한경 및 욕구에 맞는 효율적인 급식 제공 및 급식이 필요한 아동에게 적극적으로 급식을 지원하기 위함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003799&wlfareInfoReldBztpCd=02,강원특별자치도,태백시,강원특별자치도 태백시 행정복지국 사회복지과,방문,수시,기타,"영유아, 아동, 청소년",,,1438,20250822
WLF00004406,참전유공자 사망위로금,"
6.25전쟁 및 월남전쟁에 참전한 유공자에 대하여 사망위로금을 지원함으로써 
참전자의 명예를 기리고 군민의 애국정신 함양에 이바지함",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004406&wlfareInfoReldBztpCd=02,경상남도,함양군,경상남도 함양군 경제복지국 사회복지과,방문,1회성,현금지급,,보훈대상자,"안전·위기, 서민금융",444,20250822
WLF00004131,참전명예수당,"
6.25 및 월남전쟁에 참전한 유공자와 전몰군경유족, 참전유공자의 사망한 배우자에게 지원을 함으로써 
참전자의 명예를 기리고 군민의 애국정신 함양에 이바지함",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004131&wlfareInfoReldBztpCd=02,경상남도,함양군,경상남도 함양군 경제복지국 사회복지과,방문,월,현금지급,"노년, 중장년",보훈대상자,서민금융,436,20250822
WLF00001009,장애인 특별운송사업,"교통약자인 노인, 임산부, 장애인들을 위하여 정기적으로 구간을 매일 운행하여 이동서비스 제공",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001009&wlfareInfoReldBztpCd=02,울산광역시,,울산광역시 교통국 교통기획과,"모바일, 전화",수시,기타,,,,782,20250822
WLF00006165,순천시 대상포진 예방접종 지원사업,대상포진 예방접종 비용을 지원하여 대상포진 발병률 및 합병증을 낮추고 건강한 일상 유지에 기여하고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006165&wlfareInfoReldBztpCd=02,전라남도,순천시,전라남도 순천시 보건소 건강증진과,방문,1회성,현물지급,"중장년, 노년",,,184,20250820
WLF00005908,동구 청년 컬처페이 지원사업,"동구 청년들의 문화, 여가 및 스포츠 활동을 지원하여 문화생활 향유 및 자기계발 기회 제공",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005908&wlfareInfoReldBztpCd=02,인천광역시,동구,인천광역시 동구 경제환경국 일자리경제과,인터넷,년,전자바우처(바우처),청년,,,189,20250820
WLF00005769,산모신생아 건강관리 지원," 



기준 중위소득 150%이하 출산가정 대상 가정방문 산후조리서비스 제공을 통해 임신출산가구 가계 부담 경감",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005769&wlfareInfoReldBztpCd=02,충청남도,,충청남도 인구전략국 인구정책과,방문,월,전자바우처(바우처),"임신 · 출산, 청년",,임신·출산,926,20250820
WLF00005683,노인 목욕비 및 이미용비(효도카드) 지원,노인의 보건복지 및 건강증진,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005683&wlfareInfoReldBztpCd=02,강원특별자치도,고성군,강원특별자치도 고성군 행정복지국 복지과,방문,년,지역화폐,노년,,서민금융,559,20250820
WLF00005460,장애인보조기구 수리센터 운영,보장구를 사용하고 있는 중증장애인들에게 편의증진과 장애로 인한 이동권을 행사할 수 있도록 수리비 지원과 긴급한 상황시 찾아가는 긴급출장 서비스 제공,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005460&wlfareInfoReldBztpCd=02,서울특별시,성북구,서울특별시 성북구 복지교육국 어르신·장애인복지과,,수시,기타,,저소득,,99,20250820
WLF00005092,손자녀가족돌보미 지원사업,맞벌이 또는 한부모 가정의 양육부담 경감 등,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005092&wlfareInfoReldBztpCd=02,광주광역시,,광주광역시 여성가족교육국 여성가족과,"방문, 우편, 팩스",월,현금지급,아동,,서민금융,47794,20250820
WLF00004387,노인등 도서민 여객선 운임지원 사업,"충남도내 버스가 다니지 않는 도서지역 거주 74세 이상, 청소년 등에게 시내.농어촌버스 요금지원과 균등한 지원체계 마련으로, 최소한의 공공교통서비스 제공과 편의증진 및 육지와 도서간 동등한 교통복지권 혹보",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004387&wlfareInfoReldBztpCd=02,충청남도,,충청남도 해양수산국 해운항만과,,월,기타,,"장애인, 보훈대상자",,366,20250820
WLF00000904,참전유공자(6.25) 명예수당,"참전유공자 중 6.25전쟁 참전 대상자
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000904&wlfareInfoReldBztpCd=02,부산광역시,해운대구,부산광역시 해운대구 생활복지국 복지정책과,방문,월,현금지급,,,서민금융,177,20250820
WLF00000295,장애인복지 증진(행정복지센터 내 대여용 휠체어 수선비),서원구 행정복지센터 내 대여용 휠체어 고장 수선,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000295&wlfareInfoReldBztpCd=02,충청북도,청주시,충청북도 청주시 서원구 주민복지과,"전화, 방문",년,기타,"청소년, 청년, 중장년, 아동, 영유아, 노년",,,358,20250820
WLF00005169,전립선 검진 사업,만 60~69세 어르신들의 전립선암의 조기발견 및 조기치료로 건강 생활 영위,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005169&wlfareInfoReldBztpCd=02,경상북도,경주시,경상북도 경주시 보건소 지역보건과,,1회성,현금지급,노년,,서민금융,298,20250819
WLF00005001,충청북도 다문화가족 한마음 축제 지원," ○ 도내 다문화가족을 위한 축제의 장 마련으로 소외감을 해소하고 사회통합 및 동질감 형성
 ○ 다문화가족에 대한 부정적인 인식개선 및 함께 살아가는 친 다문화사회 조성",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005001&wlfareInfoReldBztpCd=02,충청북도,,충청북도 외국인정책추진단,,년,프로그램/서비스(서비스),,다문화·탈북민,,322,20250819
WLF00004602,1인가구 생활불편해소 서비스 ,"서초구에 혼자 거주하고 있는 이들의 생활 속 불편함과 어려움을 해소하고 여가, 문화, 커뮤니티를 지원",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004602&wlfareInfoReldBztpCd=02,서울특별시,서초구,서울특별시 서초구 밝은미래국 아동청년과,"방문, 인터넷",수시,기타,"노년, 중장년, 청년",,,1795,20250819
WLF00003661,어르신 목욕비 지원,"경제적, 지리적 접근성의 어려움으로 목욕을 할 수 없는 노인들을 대상으로 복지회관 및 일반 대중탕과 업무협약으로 목욕비를 지원함으로써 노인들의 보건과 복지, 건강증진 도모",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003661&wlfareInfoReldBztpCd=02,경상북도,청송군,경상북도 청송군 주민행복과,방문,분기,기타,노년,,,856,20250819
WLF00000131,화장장려금 지원,청송군민이 다른 지방자치단체 화장장을 이용하는 부담 경감(경제적 불이익 해소) 및 매장중심의 장묘문화 개선  ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000131&wlfareInfoReldBztpCd=02,경상북도,청송군,경상북도 청송군 주민행복과,방문,1회성,기타,"노년, 아동, 영유아, 청소년, 중장년, 청년",,안전·위기,685,20250819
WLF00003663,안심케어 주택지원사업,"지역 내 열악한 주거환경에 노출된 저소득·취약계층 가구에게 맞춤형 집수리 봉사활동을 실시함으로써, 주거환경 개선을 통한 삶의 질 향상과 재능 나눔 자원봉사 활성화 도모",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003663&wlfareInfoReldBztpCd=02,경상북도,청송군,경상북도 청송군 사회복지과,방문,1회성,"자원봉사, 현물지급",,,,880,20250819
WLF00002623,중증장애인활동지원 구비추가사업,- 중증장애인의 경우 보호자 역할 부담이 증가됨에 따라 추가 지원함으로써 장애인 가족의 부담 경감과 자립생활을 지원을 통한 사회참여 증진 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002623&wlfareInfoReldBztpCd=02,서울특별시,성북구,서울특별시 성북구 복지교육국 어르신·장애인복지과,방문,월,프로그램/서비스(서비스),"중장년, 청년, 청소년, 영유아, 아동",장애인,,685,20250819
WLF00004544,영동군 농어촌버스 무료 이용 확대,"교통약자(어린이, 청소년, 장애인, 70세이상)에게 농어촌버스 요금을 지원하여 교통복지 향상과 대중교통 및 지역경제 활성화 도모",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004544&wlfareInfoReldBztpCd=02,충청북도,영동군,충청북도 영동군 농산업건설국 건설교통과,방문,수시,실물바우처,"청소년, 아동, 노년",장애인,,1037,20250819
WLF00002202,서울특별시 도봉구 장애인가정 출산지원금 지원,비장애인에 비해 장애로 인한 경제적 어려움을 겪고 있는 장애인 가정에 출산비용을 지원함으로써 경제적 부담을 경감하고 출산  친화적 문화조성을 통한 삶의 질 개선에 기여하고자 함.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002202&wlfareInfoReldBztpCd=02,서울특별시,도봉구,서울특별시 도봉구 복지가족국 어르신장애인과,방문,1회성,현금지급,"임신 · 출산, 청년, 중장년, 영유아",장애인,"서민금융, 임신·출산",734,20250819
WLF00000607,부랑인 구호,행려자 및 행려사망자에 대하여 행려자 여비 등 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000607&wlfareInfoReldBztpCd=02,경상북도,청송군,경상북도 청송군 사회복지과,방문,1회성,현금지급,,,서민금융,243,20250819
WLF00002567,장애인 콜택시 운영,"보행상 심한 장애인 등의 이동권 보장을 위하여 장애인 콜택시 운영
*교통약자의 이동편의 증진법 제16조 및 같은법 시행규칙 제6조",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002567&wlfareInfoReldBztpCd=02,울산광역시,,울산광역시 교통국 교통기획과,"전화, 모바일, 인터넷",수시,감면,,장애인,서민금융,2848,20250819
WLF00006164,365X24 아동돌봄 거점센터 운영,65일 24시간 아동(6～12세) 대상 돌봄 서비스 제공을 통해 ‘아이를 낳으면 성인이 될 때까지 책임지는 충남’ 실현,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006164&wlfareInfoReldBztpCd=02,충청남도,아산시,충청남도 아산시 문화복지국 아동보육과,"전화, 인터넷",주,"기타, 프로그램/서비스(서비스)",아동,,,150,20250815
WLF00006068,저소득주민생활안정자금지원,자활의욕이 강하면서도 일시적인 재난 기타 사유로 인하여 생계자금이 현저하게 부족한 저소득주민의 생활안정을 위한 융자금 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00006068&wlfareInfoReldBztpCd=02,경상북도,경산시,경상북도 경산시 복지문화국 복지정책과,방문,1회성,현금대여(융자),,저소득,,1202,20250815
WLF00005625,미등록경로당 지원 사업,어르신들의 복지 증진을 위해 경로당으로 등록하기 위한 시설기준을 충족하지 못하여 지원에서 소외당하고 있는 미등록 경로당 어르신들의 복지를 위하여 최소한의 지원 근거를 마련하여 실질적으로 형평성 있는 복지혜택을 받을 수 있도록 하기 위함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005625&wlfareInfoReldBztpCd=02,경상북도,문경시,경상북도 문경시 행정복지국 시니어장애인과,방문,반기,현금지급,노년,,서민금융,126,20250815
WLF00005380,진주시 출산축하금 지원,"출산가정의 경제적 부담을 완화하고, 산모• 신생아의 건강관리를 위하여 출산축하금을 지급함.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005380&wlfareInfoReldBztpCd=02,경상남도,진주시,경상남도 진주시 복지여성국 여성가족과,"방문, 인터넷",1회성,현금지급,영유아,,서민금융,4899,20250815
WLF00005345,청도군 화장장려금 지원,「장사 등에 관한 법률」제4조에 따라 묘지 증가에 따른 국토의 훼손을 방지하기 위하여 화장의 장려를 위한 시책을 강구하고자 청도군민이 타 지역 시ㆍ군ㆍ구 화장장을 이용할 경우 부담해야하는 비용을 일부 지원함으로써 경제적 불이익을 해소하기 위하여 필요한 사항을 규정함을 목적으로 한다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005345&wlfareInfoReldBztpCd=02,경상북도,청도군,경상북도 청도군 행정복지국 사회보장과,방문,수시,현금지급,,,"서민금융, 안전·위기",264,20250815
WLF00005255,가정위탁아동 양육비 지원,"〇 가정위탁아동의 건강하고 안전한 양육환경을 조성하기 위하여 
    가정위탁 아동에대한 양육비 지원 
○ 지원대상 : 가정위탁아동(위탁보호되는 18세 미만 아동)
   - 가정위탁 : 보호자가 없거나 보호자로부터 이탈 된 아동의 보호를 위
                하여 아동복지법이 정하는 기준에 적합한 가정에 일정기간
                아동을 위탁하는 것
 ○ 사업내용 
   - 아동1인당 월34만원 ~ 56만원 차등지원
     (만7세미만 : 34만원, 만7세~12세 : 45만원, 만13세이상 : 56만원)",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005255&wlfareInfoReldBztpCd=02,경상남도,하동군,경상남도 하동군 기획행정국 가족정책과,방문,월,현금지급,아동,,"서민금융, 주거, 입양·위탁, 보호·돌봄",262,20250815
WLF00005246,한부모가족 유급 자녀돌봄휴가비 지원," 혼자서 자녀를 키우며 일, 육아 병행으로 어려움을 겪는 한부모가족에게 자녀돌봄휴가비를 지원하여 자녀양육과 경제활동 유지에 도움을 주고자 함",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005246&wlfareInfoReldBztpCd=02,서울특별시,성동구,서울특별시 성동구 복지국 여성가족과,"방문, 인터넷",수시,현금지급,,한부모·조손,서민금융,1118,20250815
WLF00005174,경주지역자활센터 종사자 처우개선비 지원,지역자활센터 시설종사자 및 자활근로사업단 전문가에게 처우개선비를 지급하여 종사자들의 근로의욕 고취 및 처우개선에 기여,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005174&wlfareInfoReldBztpCd=02,경상북도,경주시,경상북도 경주시 시민행정국 복지정책과,,월,현금지급,,,서민금융,239,20250815
WLF00005168,보편적 산후조리비용지원,출산가정의 경제적 부담을 덜어주고 산모와 아기의 안정적 회복과 성장을 도와 아이 낳고 키우기 좋은 출산친화 도시 조성을 위함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005168&wlfareInfoReldBztpCd=02,서울특별시,성동구,서울특별시 성동구 보건소 건강관리과,"방문, 인터넷",1회성,현금지급,임신 · 출산,,"서민금융, 임신·출산",1269,20250815
WLF00005140,청송군 8282민원처리,"주민편의 및 복리증진, 주민생활과 직결되는 불편사항을 신속하게 처리",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00005140&wlfareInfoReldBztpCd=02,경상북도,청송군,경상북도 청송군 종합민원과,전화,년,기타,,"한부모·조손, 저소득, 장애인",,187,20250815
WLF00004688,강동구 초중고 신입생 입학준비금 사업,교육의 공공성 강화와 사각지대 없는 보편적 교육복지 실현,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004688&wlfareInfoReldBztpCd=02,서울특별시,강동구,서울특별시 강동구 행정안전국 교육지원과,인터넷,1회성,기타,청소년,,교육,584,20250815
WLF00004841,결혼축하금 지원 사업,결혼장려 분위기를 조성하고 신혼부부에게 경제적 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004841&wlfareInfoReldBztpCd=02,경상남도,진주시,경상남도 진주시 복지여성국 여성가족과,방문,1회성,지역화폐,"청년, 중장년",,서민금융,3167,20250815
