서비스ID,서비스명,서비스 요약,상세 링크,소관기관,대표연락처,신청가능여부,주소,태그,시작일,종료일,진행상태,INTRS_THEMA_CD,FMLY_CIRC_CD,BKJR_LFTM_CYC_CD,WLFARE_INFO_AGGRP_CD,카테고리,사업상태,사업기간,연락처,이메일,사업목적,지원대상,지원내용,신청방법,제출서류
BOK00000922,"IBK와 함께하는 세이프 콜, 세이프 머니",전자통신금융사기(보이스피싱) 피해 예방 및 인식제고를 위해 보이스피싱 예방교육과 보상보험료를 1년간 지원합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000922&wlfareInfoReldBztpCd=03,대한사회복지회,,, ,,20241029,20250928,진행중,"생활지원,교육,안전·위기,보호·돌봄,서민금융","다자녀,한부모·조손,장애인,저소득,보훈대상자,다문화·탈북민","노년,중장년,청년","19~39세,40~64세",생계지원,,,,,전자통신금융사기(보이스피싱) 피해 예방 및 인식제고를 위해 보이스피싱 예방교육과 보상보험료를 1년간 지원합니다.,기초생활수급자/차상위계층/법정 한부모가정/자립준비청년 중 만 18세 이상인 가족구성원,"보이스피싱 예방교육(온라인교육) 수료 이후, 보이스피싱 보상보험료 지원",구글폼신청(https://forms.gle/6zEYAyBRjgFouW8f6),수급 및 법적한부모 증명서
BOK00000920,전기통신 금융사기 피해지원사업(보이스피싱제로-2차년도),전기통신 금융사기 전기통신 금융사기 피해자 대상으로 경제적 지원을 비롯하여 법률·심리 상담을 지원하여 무너진 일상을 회복시키고 재기할 수 있도록 돕는 사업입니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000920&wlfareInfoReldBztpCd=03,사회복지법인 굿네이버스 보이스피싱제로 사무국,,, ,,20241028,20250930,진행중,"안전·위기,서민금융,법률,정신건강",저소득,"청년,청소년,중장년,노년","65세이상,40~64세,19~39세",생계지원,,,,,전기통신 금융사기 전기통신 금융사기 피해자 대상으로 경제적 지원을 비롯하여 법률·심리 상담을 지원하여 무너진 일상을 회복시키고 재기할 수 있도록 돕는 사업입니다.,전기통신 금융사기 피해자(유족 및 국내거주외국인 포함),"1. 지원 내용 : 
  ① 피해 지원 사업
    - 생활비 지원(1인 최대 300만원 / 개인에게 지원)
    - 법률 상담 지원(대한법률구조공단연계 기본상담 및 민사소송지원)
    - 심리 상담 지원(1인 최대 200만원 / 심리치료기관으로 지원)
  ② 피해 예방 사업
    -  예방 교육 : 오프라인 / 전기통신 금융사기 피해 예방 교육 강사 파견
                   온라인 / 전기통신 금융사기 온라인교육 개별 수강           
    -  보험 지원 : 온·오프라인 예방 교육 수료자 및 피해 지원 사업 대상자(만 14세 이상)에                     대한 전기통신 금융사기 피해 예방 보험 무료 가입(1년)
2. 피해 지원 사업 선정 기준 : 
    - 공통기준 [통신사기피해환급법]에 따른 보이스피싱/메신저피싱/스미싱 피해자
    - 생활비 지원(최근 3년 이내 피해 / 경찰 사건 접수 완료 / 중위소득 100% 이하)
    - 법률 상담 지원(최근 3년 이내 피해 / 경찰 사건 접수 완료)
    - 심리 상담 지원(심리 피해 회복 필요한 자 / 최근 3년 이내 피해 / 경찰 사건 접수 완료)
     *모든 사업은 해당 기준에 모두 부합하여야 하며 심사를 통해 최종 선정
     **신청 세부 사항은 홈페이지 내 [서식/자료] 탭의 사업안내문 참조",개인 및 기관 신청 가능 / 이메일 또는 팩스 접수 / 차수별 선착순 접수,[보이스피싱제로] 홈페이지 내 사업안내문 및 서식 참조
BOK00000918,심장질환 및 희귀난치성질환 아동청소년 지원사업,심장질환 및 희귀난치성질환을 진단받은 아동청소년이 시의적절한 치료를 통해 건강하게 성장할 수 있도록 돕고자 합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=BOK00000918&wlfareInfoReldBztpCd=03,사회복지법인 밀알복지재단,,, ,,20241001,20250930,진행중,"생활지원,신체건강","장애인,저소득","영유아,아동,청소년",,생계지원,,,,,심장질환 및 희귀난치성질환을 진단받은 아동청소년이 시의적절한 치료를 통해 건강하게 성장할 수 있도록 돕고자 합니다.,심장질환 및 희귀난치성질환을 진단받은 만23세 이하의 아동청소년,"의료비 및 제반비용 지원
- 의료비, 의료소모품 및 의료보조기구, 생계비 등 (※단, 생계비 단독지원 불가)",첨부파일 다운로드 후 신청서 작성하여 이메일 접수 (miral9135@miral.org),"1) 사업신청서 1부, 개인정보 수집·이용·제공동의서 1부
2) 주민등록등본 1부
3) 소득증명서류 1부(수급자증명서, 차상위계층증명서, 건강보험료납입증명서 中 택1)
4) 주거증명서류 1부(임대차계약서, 무료임대확인서, 등기부등본 中 택1)
5) 의료증명서류 1부(장애인증명서, 장애인 진단서, 복지카드 앞뒤 사본 中 택1)
6) 선택서류 
  - 세대 구성원 중 소득이 있거나 질병 및 장애가 있을 경우 증빙서류 제출(3. 소득증명서류, 4. 의료증명서류)
  - 부채증명원 1부(부채가 있는 경우)
※ 모든 제출서류는 최근 3개월 이내 발급 서류만 인정"
S0000248225,신용회복지원,"과중한 채무로 어려운 분들을 대상으로 상환기간 연장, 분할상환, 이자율조정 등의 방법으로 경제적 재기를 지원합니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0000248225&wlfareInfoReldBztpCd=03,신용회복위원회,,, ,,20100319,20991231,진행중,서민금융,,,,건강·의료,,,,,"과중한 채무로 어려운 분들을 대상으로 상환기간 연장, 분할상환, 이자율조정 등의 방법으로 경제적 재기를 지원합니다.",신용회복이 필요한 과중채무자,"- 개인연체자의 경제회생 지원
- 종합상담 : 1:1 심층상담을 통해 신용과 채무문제를 진단하고 본인이 처한 상황에 가장 적합한 솔루션을 제공
 * 신용과 채무문제 진단, 채무자 구제제도 안내, 서민 금융지원제도 안내, 신용상담보고서 발급
- 개인회생 파산신청지원
- 신용교육, 신용복지컨설팅 등",- 국번없이 1600-5500 (신용회복위원회),
S9765800008,소아암 환자 가발지원,항암치료로 인한 갑작스런 외모변화로 심리적 위축감을 느끼는소아암 환자에게 가발을 지원합니다.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765800008&wlfareInfoReldBztpCd=03,재단법인 한국백혈병어린이재단,,, ,,20160118,20991231,진행중,"정신건강,신체건강",,"청소년,청년,아동","6~12세,13~18세,19~39세,0~5세",건강·의료,,,,,항암치료로 인한 갑작스런 외모변화로 심리적 위축감을 느끼는소아암 환자에게 가발을 지원합니다.,"1. 암 치료로 모발이 빠진 학령기 7세 이상 소아암 및 이에 준하는 희귀난치성질환 환자
2. 치료 후유증으로 모발이 자라지 않는 만 30세 미만 치료종결자(단, 19세 이하에 소아암 및 이에 주하는 희귀질환으로 진단 받은 경우에 한함)","가발 제작비 
 - 가발 1개(제작비 80만원)
 - 가발지원 협약 업체인 하이모를 통해 제작 지원함(백화점 내 하이모 지점 제외)","1. 신청방법 : 연중수시, 인터넷 신청(www.kclf.org)
2. 지원방법 : 각 지역별 지원접수처 홈페이지 참조
3. 지원안내 및 접수처
ㆍ 서울, 경인 지역 거주자 : 서울대학교병원, 서울성모병원 02-747-7679
ㆍ 세브란스, 서울아산병원, 삼성서울병원, 그외 병원환자 : 02-747-7680
ㆍ 광주, 호남, 충청, 제주 지역 거주자 : 051-635-7671
ㆍ 대구, 경북, 강원 지역 거주자 : 053-253-7671","1. 가발지원 신청서 및 가발지원사업 개인정보 이용 제공 동의서
2. 건강보험 자격확인서(가족전체)
3. 건강보험료 납무확인서(최근 3개월)
4. 현재 모발상태 확인 사진 1장(치료종결자만 제출)
 * 가족전체가 수급자 및 차상위일 경우, 수급자 증명서 또는 차상위 관련 증명서로 3,4번 서류를 대신합니다.
 * 온라인 신청으로 진행되는 가발지원 신청서 및 가발지원사업 개인정보 이ㅛㅇ 제공 동의서는 상담 이후 문자로 안내드립니다."
S0038597837,"언어 두 개, 기쁨 두 배 지원사업",,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0038597837&wlfareInfoReldBztpCd=03,세이브더칠드런,,, ,,20150101,20991231,진행중,교육,다문화·탈북민,"아동,청소년",,아동지원,,,,,,- 다문화가정 아동,"- 다문화가정에서 엄마나라의 언어와 문화에 대한 관심을 높일 수 있도록, ""언어 두 개, 기쁨 두 배"" 사업을 통해 동화책과 동일한 컨텐츠로 제작된 전래동화 CD를 제공
ㆍ한국어, 베트남어, 몽골어, 중국어로 구성 / 각 언어권 별 24개 전래동화 수록","- 다문화가족지원센터를 통해서 신청(<a title=""영상교재 다운로드 새창열기"" href=""http://www.sc.or.kr/happy2"" target=""_blank"">www.sc.or.kr/happy2</a>에서 영상 교재 다운로드)",
S9765742345,민들레카,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765742345&wlfareInfoReldBztpCd=03,(사)그린라이트,,, ,,20151006,20991231,진행중,,,"중장년,청년",,생계지원,,,,,,"- 취약계층 가정, 장애인 가족 등","- 민들레카 무상지원, 유류 및 여행경비 32만원 체크카드 지원, 필요시 운전기사 지원
ㆍ2·5·9월 취약계층, 4월 장애인",- 인터넷 mincar.kr(월별 대상자 공고 참조해서 신청),
S0041108420,에버랜드 할로윈 축제 할인 초청,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0041108420&wlfareInfoReldBztpCd=03,에버랜드,,, ,,20130201,20991231,진행중,문화·여가,,,,생계지원,,,,,,- 저소득 문화소외계층,- 에버랜드 무료체험,- www.bokji.net > 이벤트게시판 (공고시),
S9765686049,법률홈닥터,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765686049&wlfareInfoReldBztpCd=03,법무부,,, ,,20150626,20991231,진행중,,,"청년,중장년,노년",,채무·법률,,,,,,- 법률상담이 필요한 분,- 무료법률상담 및 소송지원,- 각 지역 법률홈닥터를 통해 신청(www.moj.go.kr 법률홈닥터 검색),
S9765853441,HUG프로그램,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765853441&wlfareInfoReldBztpCd=03,남북하나재단,,, ,,20160504,20991231,진행중,교육,다문화·탈북민,청년,,생계지원,,,,,,"- 만 20~35세이하 북한이탈주민 대학생으로 4학기 이상(전문대 2학기 이상) 이수한 재/휴학생 및 졸업생, 어학성적 우수자 우대, 국내연수 6개월 참여가능한 자","- 국내 어학연수 6개월, 영국연수 6개월 수업료 및 프로그램참가비, 홈스테이비용 지원","- 매년 4~5월 접수
- 우편접수: 04168, 서울 마포구 새창로7 서울대학교 장학빌딩 4층 교육개발부
- 이메일접수: mjbaek90@nkrf.or.kr","- 신청서, 개인정보동의서, 북한이탈주민확인서, 성적증명서, 자격증 및 수상경력증명서(해당자)"
S9765870934,학생 행복나눔 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765870934&wlfareInfoReldBztpCd=03,대한결핵협회,,, ,,20160608,20991231,진행중,"신체건강,정신건강",저소득,"아동,청소년",,건강·의료,,,,,,"- 초중고교생 중 결핵환자(현재 치료중으로, 해당사업 지원이력이 없는 학생)","- 결핵완치 독려금 500,000원 지원(차상위계층의 경우 영양식섭취 지원금 500,000원 추가)",- 전화문의(2-2633-9461),
S9765880890,주거안정 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765880890&wlfareInfoReldBztpCd=03,아동자립지원단,,, ,,20160608,20991231,진행중,주거,,"아동,청년,청소년",,생계지원,,,,,,"- 만 18세~28세의 아동복지시설 및 가정위탁 보호종결자(동거인이 있을 경우 소득, 생계부양 등의 심사를 통해 분담금액만큼 신청가능)","- 월세, 보증금, 기숙사비 등 1인당 최대 500만원의 주거비 지원, 주거 및 자립 관련 교육 연 5회","- 매년 1~2월, 5~7월 중 인터넷 jarip.kohi.or.kr에서 신청",
S9765853444,진료비 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765853444&wlfareInfoReldBztpCd=03,(사)새생명찾아주기운동본부,,, ,,20160504,20991231,진행중,"신체건강,정신건강",저소득,,,건강·의료,,,,,,"- 저소득 세대주 및 그 가족으로 입원, 수술로 치유가 가능함에도 경제적 이유로 적정한 치료를 받지 못하는 환자(심장병, 신장이식, 백내장, 녹내장, 초기자궁암, 유방암, 기타 수술로 완치가 가능한 환자로 수술전에만 접수가능)","- 400만원 한도내에서 대상환자가 진료받은 의료기관에 진료비 지급(지급가능병원 : 가천대길병원, 인천의료원, 인천적십자병원, 인천성모병원, 산재의료원 중앙병원, 인천기독병원, 인천사랑병원, 부평세림병원, 성민병원, 인하대병원)",- 접수 전 전화문의,
S9765853439,청소년 정신건강지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765853439&wlfareInfoReldBztpCd=03,세이브더칠드런,,, ,,20160504,20991231,진행중,"신체건강,정신건강",저소득,"청년,청소년,중장년,아동,노년",,아동지원,,,,,,- 전문적인 정신건강서비스가 필요한 중위소득 75%이하 가정의 13~18세 청소년 및 부모,"- 진료비(검사 및 치료, 약제, 프로그램) 최대 150만원, 입원치료 필요시 타사업 연계",- 시군구 희망복지지원단 공모사업으로 사업대상지역에서 신청가능,
S9765847186,미술영재 장학사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765847186&wlfareInfoReldBztpCd=03,한국메세나협회,,, ,,20160405,20991231,진행중,교육,,"아동,청소년",,생계지원,,,,,,"- 미술에 재능을 갖춘 초등학교 6학년~중학교 1학년
ㆍ국민기초생활보장법에 근거한 수급권자, 차상위, 차차상위, 한부모가정
ㆍ긴급복지지원법에 근거한 긴급지원대상자
ㆍ아동복지시설 입소자
ㆍ기타 필요하다고 인정되는 경우","- 장학금 지급(매월 30~50만원)
ㆍ인근지역 미대 재학생 멘토링 매칭
ㆍ문화예술체험 프로그램(연 2회 이상) 
ㆍ아티스트 멘토링(월 1회 현직 작가와 작품활동)
ㆍ재능나눔 활동
ㆍ인텐시브 아트캠프(2박3일 여름캠프)
ㆍ드림그림 전시회(연 1회 서울소재 전시장 개최)","- 우편 접수:(150-729) 서울시 영등포구 은행로 37 기계산업진흥회 본관 6층 한국메세나협회 한성자동차 드림그림 담당자 앞 (매년 12월~1월)
ㆍ서류심사 및 작품심사, 홈페이지 참조(www.mecenat.or.kr)",
S0000562280,방송모금성금지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0000562280&wlfareInfoReldBztpCd=03,SBS,,, ,,20110501,20991231,진행중,"신체건강,정신건강","다문화·탈북민,장애인,저소득","영유아,청소년,아동",,생계지원,,,,,,- 도움이 필요한 가구,- ARS모금 후원금 전달(세상에서 가장 아름다운 여행),"- 연중, ARS: 1577-0029, 홈페이지 신청",
S9765637736,정기후원금(결연사업),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765637736&wlfareInfoReldBztpCd=03,세이브더칠드런,,, ,,20150101,20991231,진행중,,저소득,"청소년,아동",,생계지원,,,,,,- 저소득 빈곤가정 아동,"- 경제적 어려움등으로 생활비, 관리비, 교육비가 부족한 가정에게 매월 정기적으로 5만~10만원씩 후원금 지급함(1:1결연)",- 전화문의,
S9765655226,한부모여성가장 창업지원사업(MarryMom),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765655226&wlfareInfoReldBztpCd=03,열매나눔재단,,, ,,20150514,20991231,진행중,,한부모·조손,,,생계지원,,,,,,"- 사업장 또는 창업희망지가 서울시 소재이며, 만 20세(맏자녀 기준) 미만의 자녀를 부양하고 있는 한부모 여성가구주
- 창업 예정자로 3개월 이내 오픈 가능한 자(기창업자 지원 불가)
- 전체 가구 소득이 보건복지부가 고시한 기준 중위소득의 60% 이하
- 자기자본금 기준 1,500만원 이상 대출 시 대출금액의 50% 자기자본금 증빙","- 3개월 거치 45개월 원금균등상환(이자없음) 최대 2000만원 대출
- 창업교육 20시간, 홍보 및 마케팅 지원, 사업자문 등
*1년간 연체 없이 성실상환할 경우 차기년도에 연초 상환잔액의 100만원 감액(최대 300만원)","- 우편예약 및 사전방문예약 접수
- 신청기간 : 2월, 5월, 11월
- 신청과정: 공고>접수>심사>가정방문>결과발표>창업교육>협약식>사후관리",
S0009611967,대학생 경제·금융 워크숍 및 프리젠테이션 대회,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0009611967&wlfareInfoReldBztpCd=03,KRX국민행복재단,,, ,,20140603,20991231,진행중,"교육,서민금융",,청년,,일자리,,,,,,"- 경제, 금융에 관심있는 전국 대학생(휴학생 포함) 
- 지역별 100명(선착순)","- 교육내용(워크숍)
ㆍ[강의1] 나의 머니스크립트, 그리고 인생설계
ㆍ[강의2] 금융환경의 변화와 금융회사 취업
ㆍ[강의3] 금융생활의 혜택과 위험
ㆍ[강의4] 재무설계의 이해와 프리젠테이션 대회 

- 교육혜택
ㆍ(워크숍) 워크북 및 인증서, 점심식사 및 기념품 제공
ㆍ(PT대회) 상장 및 상금, 지방참여자 교통비 제공","- 인터넷 접수: <a href=""http://www.krxfoundatin.or.kr"" target=""_blank"" title=""[새창]대학생 경제·금융 워크숍 및 프리젠테이션 대회-신청방법"">www.krxfoundatin.or.kr</a>
- 공고 : 매년 6월 중",
S9765642811,소중한 나눔 이야기(방송국 ARS 후원금),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765642811&wlfareInfoReldBztpCd=03,kbs한국방송공사,,, ,,20150407,20991231,진행중,,저소득,,,생계지원,,,,,,- 도움이 필요한 가정,- KBS 1TV 동행 ARS 후원금,- 인터넷 신청(사연접수),
S0038279242,동병하치 프로그램,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0038279242&wlfareInfoReldBztpCd=03,㈜함소아&함소아제약,,, ,,20140707,20991231,진행중,"신체건강,정신건강",,"아동,청소년",,아동지원,,,,,,"- 드림스타트, 위스타트 아동","- 겨울철 질병예방을 위한 삼복첩 첩부 및 약선(탕약), 생탁차 제공",- 각 지역센터 공고시,
S0032502231,걱정해결사업(교육비 지원),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0032502231&wlfareInfoReldBztpCd=03,메리츠화재,,, ,,20121002,20991231,진행중,교육,저소득,"아동,청소년",,아동지원,,,,,,- 저소득 가정 자녀,- 아동 및 청소년 학습 능력 향상을 위한 교육비 지원,- 공동모금회를 통해 메리츠화재와 업무협약을 진행한 지자체 예산 지원,
S0000375969,무주택 저소득층 임차자금 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0000375969&wlfareInfoReldBztpCd=03,한국사회복지협의회,,, ,,20100611,20991231,진행중,주거,저소득,청년,,주거지원,,,,,,"- 만 18세 미만의 아동을 양육하는 조손, 한부모, 장애, 다문화가정, 자립아동세대, 소년소녀가장 등(기관당 최대 3세대 신청 가능)","- 1세대당 500~1,000만원의 임차보증금을 무상으로 지원",- 매년 5월~6월 홈페이지 공고 참조(www.kncsw.bokji.net) /추가접수 필요시 9월,
S9765801198,모자가정 지원사업 위시박스,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765801198&wlfareInfoReldBztpCd=03,(재)아름다운 동행,,, ,,20160118,20991231,진행중,,한부모·조손,"아동,청소년",,아동지원,,,,,,- 모자가정의 자녀로 초등학교 1학년 ~ 고등학교 3학년에 해당하는 아동청소년,"- 착한소원(최대 50만원)에 한해 단순 지원을 지양하고 긍정적 변화가 기대되는 개인의 소원, 자기발전, 진로등을 위한 물품을 지원함","- 연중(매월 말), 홈페이지 참고",
S0027662502,자가시력검진,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0027662502&wlfareInfoReldBztpCd=03,한국실명예방재단,,, ,,20140303,20991231,진행중,"정신건강,신체건강",,"청소년,영유아,아동",,아동지원,,,,,,"- 취학전 아동, 농어촌 아동 등",- 눈 건강을 위한 생활습관을 위한 가정용 자가시력검진 키트 제공,- 지역보건소,
S0041901540,무료독감 예방접종,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0041901540&wlfareInfoReldBztpCd=03,(주)녹십자,,, ,,20140101,20991231,진행중,"정신건강,신체건강",,"아동,청소년",,아동지원,,,,,,- 드림스타트 아동,- 무료독감 예방주사 제공,"- 드림스타트 사례관리아동 선정, 공고 시",
S0012092748,치과지원,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0012092748&wlfareInfoReldBztpCd=03,남북하나재단,,, ,,20130910,20991231,진행중,"신체건강,정신건강",다문화·탈북민,,,돌봄·보호,,,,,,"- 1999년 이후 보호결정을 받은 북한이탈주민으로 완전틀니 치료를 받은 당해 연도 대상자, 연령 제한 없음
ㆍ단, 최근 3년 이내 하나원에서 틀니지원을 받은 대상자는 지원 불가","- 1인 1회 전체(상악하악)인 경우 100만원 이내, 편척(1악)은 50만원 한도내에서 지원","- 우편(등기) 및 방문제출: (150-869) 서울시 영등포구 은행로 54, 4층 북한이탈주민지원재단 생활안정부 의료비지원 담당자
- 연중 수시 접수","- 지원신청서
- 북한이탈주민확인서
- 소견서(원본)
- 틀니영수증
- 본인 통장사본 각 1부
- 진료비영수증"
S0011600052,대학신입생 장학금,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0011600052&wlfareInfoReldBztpCd=03,운곡장학재단,,, ,,20130904,20991231,진행중,교육,,"아동,청소년",,생계지원,,,,,,"- 지방소재 대학신입생 
- 지방소재 고등학교를 졸업하고 지방소재 대학에 입학한 신입생","- 1인당 연 3,000천원 ~ 4,000천원 및 장학증서","- 우편접수: 울산 울주군 온산읍 석당길 53 
- 매년 1~3월 공고(www.ungok2011.com)","- 대학신입생 장학금 신청서
- 등록금 납입영수증(원본대조필)
- 주민등록등본
- 학교생활기록부(3학년 1학기 성적증명서)
- 대학수학능력시험성적표"
S0011600053,지역인재 육성 장학금,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0011600053&wlfareInfoReldBztpCd=03,운곡장학재단,,, ,,20130904,20991231,진행중,교육,,청년,,생계지원,,,,,,"- 울산광역시를 포함한 지방 소재 대학에 재학중인 자 
- 신청 직전학기 평균학점 3.5 이상(4.5 만점 기준) 
- 고등교육법 제2조에 따른 대학에 재학중인 학생","- 1인당 연 3,000천원 ~ 4,000천원 및 장학증서","- 인터넷 접수: www.ungok2011.com 
- 매년 1~3월 공고","- 공통서류
ㆍ지역인재육성장학금 신청서, 등록금 납입영수증(원본대조필)
ㆍ주민등록등본(거주확인) 
ㆍ가족관계증명서
ㆍ직전학기 성적증명서, 재학증명서(휴학여부확인용)"
S9765801197,한국생활안내(K-guide),"대한민국의 문화, 의료, 육아, 취업, 근로, 교육 등 생활 전반에 걸친 다양하고 유익한 정보를 제공합니다.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S9765801197&wlfareInfoReldBztpCd=03,한국건강가정진흥원,,, ,,20160118,20991231,진행중,"신체건강,생활지원,문화·여가",다문화·탈북민,,,일자리,,,,,"대한민국의 문화, 의료, 육아, 취업, 근로, 교육 등 생활 전반에 걸친 다양하고 유익한 정보를 제공합니다.","- 다문화 가족
- 국내 체류 외국인, 해외 체류 외국인 누구나","- 다문화가족, 국내체유 외국인 대상 한국생활정착에 필요한 정보를 13개 언어와 8개 음성지원서비스로 제공
 ( 13개 언어 : 한국어, 영어, 중국어, 베트남어, 일본어, 타갈로그어, 크메르어, 우즈베크어, 라오스어, 러시아어, 타이어, 몽골어, 네팔어)
 (8개 음성언어 : 한국어, 영어, 중국어, 베트남어, 일본어, 타갈로그어, 러시아어, 타이어)

- 정보 주제 : 대한민국소개, 다문화가족, 외국인 지원 서비스, 체류 및 국적 취득, 한국문화와 생활, 임신과 육아, 자녀교육, 건강과 의료, 사회보장제도, 취업과 근로","- www.k-guide.kr 로 접속(필요내용 PDF 다운로드 가능)
 * 모바일 환경 접속 가능!
- 다누리 포털을 통해서도 확인 가능!",
S0015515181,장애우 지원사업,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0015515181&wlfareInfoReldBztpCd=03,세방이의순재단,,, ,,20131106,20991231,진행중,"정신건강,신체건강",장애인,"아동,청소년",,아동지원,,,,,,- 장애 아동,- 장애우 재활기구 지원,"- 인터넷 접수 : <a href=""http://www.esun.or.kr"" target=""_blank"" title=""[새창]장애우 지원사업-신청방법"">www.esun.or.kr</a>
- 연중 수시 접수",
S0014887043,다문화 재능교육 프로젝트(사진),,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0014887043&wlfareInfoReldBztpCd=03,인클로버,,, ,,20140101,20991231,진행중,교육,다문화·탈북민,,,아동지원,,,,,,"- 서울, 경기지역 다문화 가족의 자녀(초등학교 4학년 ~고등학교 2학년)","- 사진관련 이론 및 실기/ 기초과정(6개월, 2/4주 토요일)
- 개별 사진기 및 장비 대여, 교육자료 및 출사비용 지원
- 교육 후 사진으로 진로를 선택한 청소년 선발, 전시회 및 특기장학금 지급","- 방문 접수: 서울시 송파구 신천동 7-14 더？스타파크 오피스텔 A동 507호
- 우편접수: (138-240) 서울시 송파구 신천동 7-14 더？스타파크 오피스텔 A동 507호
- 이메일 접수: inclover09@naver.com
- 매년 1~2월 접수","- 공통서류
 * 재능교육 신청서 1부
 * 학부모 동의서 1부
 * 자기계발계획서 1부"
S0007752287,다문화가정 도서나눔,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0007752287&wlfareInfoReldBztpCd=03,인클로버,,, ,,20130627,20991231,진행중,문화·여가,다문화·탈북민,,,아동지원,,,,,,- 다문화 가정,"- 한국의 문화, 역사와 관련된 아동도서 지원","- 기타접수 : 각 구청에서 추천의뢰
- 매년 4월~5월 접수",
S0014887038,화상점프캠프,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=S0014887038&wlfareInfoReldBztpCd=03,사회복지법인 한림화상재단,,, ,,20140101,20991231,진행중,문화·여가,,"아동,청소년",,아동지원,,,,,,- 화상을 경험한 아동 및 청소년(초등학교 3학년~고등학교 3학년),"- 화상점프캠프
- 참가비: 1만원","- 매년 5~7월 공고 
- 방문 접수: 재단법인 한림화상재단 사회사업팀(신관 4층) 
- 이메일: sinai517@naver.com 
- 팩스: 02-2637-5767",- 신청서
