출처,복지사업ID,복지사업명,설명,소관기관,대표연락처,온라인신청,주소,시작일,종료일,태그,지원대상,서비스내용,신청방법,필요서류,관심주제,대상특성,생애주기,기준,지원범위,지원주기,오프라인,대리 신청 가능,지급 방식,지원가능한 나이
지자체,WLF00002664,장애인 특별지원(장애인 가정 출산지원금), o 장애인 출산지원금 : 신생아 출생일을 기준으로 1년 전부터 신청일 현재까지 계속하여 서울특별시 광진구에 주민등록을 두고 거주하는 장애인. (신생아의 부 또는 모가 장애인), 서울특별시 광진구 복지국 사회복지장애인과,,N,서울특별시 광진구,20140101,19700101,,"장애인, 임신 · 출산,영유아","서민금융,임신·출산, 현금지급","방문, 대리인(배우자, 친족, 관계인),본인",,"서민금융,임신·출산",장애인,"임신 · 출산,영유아",해당없음,장애인가구,1회성,Y,Y,현금지급,
지자체,WLF00002665,저소득층 명절위문,명절맞이 생활이 어려운 저소득주민 및 불우시설 등을 위문격려하는 것을 목적으로 함, 서울특별시 광진구 복지국 복지정책과,,N,서울특별시 광진구,20130101,19700101,,"저소득, 기준중위소득","서민금융, 현금지급,실물바우처","방문,전화, 본인",,서민금융,저소득,,기준중위소득,해당없음(전체가구),반기,Y,N,"현금지급,실물바우처",
지자체,WLF00002667,출산축하금 지원,2022. 1. 1. 이후 출생한 관내 셋째아 이상 출산 가정에 축하금을 지원하여 출산을 축하하고 출산장려 분위기 조성, 서울특별시 광진구 복지국 가정복지과,,N,서울특별시 광진구,20080101,19700101,,"영유아,임신 · 출산","서민금융,임신·출산, 현금지급","방문,인터넷, 본인",,"서민금융,임신·출산",,"영유아,임신 · 출산",,해당없음(전체가구),1회성,Y,N,현금지급,
지자체,WLF00002764,다자녀가정 입학축하금,다자녀 입학축하금 지급으로 출산을 장려하는 사회분위기 조성 , 서울특별시 동대문구 주민복지국 보육여성과,,N,서울특별시 동대문구,20080101,19700101,,"아동,청소년","서민금융,교육, 현금지급","방문, 대리인(배우자, 친족, 관계인),본인",,"서민금융,교육",,"아동,청소년",,해당없음(전체가구),1회성,Y,Y,현금지급,
지자체,WLF00004044,장애인 양육지원금 지원사업,장애인의 양육을 지원함으로써 경제적 부담을 경감하고 장애인의 생활안정과 사회활동 참여 증진에 이바지하고자 함., 서울특별시 광진구 복지국 사회복지장애인과,,N,서울특별시 광진구,20210302,19700101,,"장애인, 영유아,아동","서민금융, 현금지급","방문, 본인,대리인(배우자, 친족, 관계인)",,서민금융,장애인,"영유아,아동",해당없음,장애인가구,월,Y,Y,현금지급,
지자체,WLF00004149,기초생활수급자 어르신(만65세 이상) 대상포진 예방접종,"인공면역 획득을 통한 발병률  및 합병증 감소, 건강증진 도모 및 경제적 부담 절감
", 서울특별시 광진구 보건소 건강관리과,,N,서울특별시 광진구,20200901,19700101,,"저소득, 노년",기타,,,,저소득,노년,해당없음,해당없음(전체가구),1회성,N,Y,기타,
지자체,WLF00000796,부랑인 노숙인 관리지원,- 부랑인 및 노숙인에 대한 생활안정 및 자립기반 조성으로 부랑인 귀향 및 조속한 사회복귀 지원, 서울특별시 서초구 주민생활국 사회복지과,,N,서울특별시 서초구,20130101,19700101,,"청소년,청년,중장년,아동,영유아,노년",기타,,,,,"청소년,청년,중장년,아동,영유아,노년",해당없음,해당없음(전체가구),1회성,N,Y,기타,
지자체,WLF00002496,보훈위문금 지급,국가를 위해 희생하거나 공헌한 국가유공자에게 위문금을 지급하여 보훈대상자의 사기를 진작시키고자 함, 서울특별시 강남구 복지생활국 복지정책과,,N,서울특별시 강남구,20130101,19700101,,"보훈대상자, 청년,중장년,노년","서민금융, 현금지급","방문, 대리인(배우자, 친족, 관계인),본인",,서민금융,보훈대상자,"청년,중장년,노년",해당없음,해당없음(전체가구),월,Y,Y,현금지급,
지자체,WLF00005075,국민기초(생계·의료)보장가구 이사비용 지원사업,저소득 구민 생활에 밀접한 지원으로 복지 체감도 향상, 서울특별시 광진구 복지국 사회복지장애인과,,N,서울특별시 광진구,20220101,19700101,,저소득,"서민금융, 현금지급","방문, 대리인(배우자, 친족, 관계인),본인",,서민금융,저소득,,,해당없음(전체가구),1회성,Y,Y,현금지급,
지자체,WLF00005401,취약계층 어린이 물놀이 수영장 이용권 지원 사업,"① 제도(사업) 변경의 필요성 및 목적

□ 경제적 양극화 심화 및 불안정한 가정의 증가 
01년~21년 동안 서울시의 기초생활보장수급자 가구는 약 81,000가구에서 280,000가구로 지속적으로 증가하고 있고 20년 기준  한부모 가정 가구 수 역시 서울시 전체 가구 중 7%를 차지하여 적지 않은 비중을 차지하며, 차상위계층은 21년 기준 6,400여 가구가 존재함.  
 이러한 취약계층(기초생활수급·한부모·차상위 가정) 어린이들은 주로 혼자 TV시청이나 인터넷을 하면서 여가시간을 보내는 것으로 조사되었으며 건전한 정신 함양을 위하여 가족이 함께 할 수 있는 여가활동이 필요

□ 어린이 복지 사각지대 해소
이러한 취약 계층의 만 13세 미만 어린이 및 동반 성인 2인에게 관내 물놀이장 이용권 지원을 통해 가족이 함께 할 수 있는 여가생활 기회를 제공
 기존 스포츠강좌이용권 사업, 문화누리 카드 사업 등 복지사업이 마련되어 있으나, 스포츠강좌이용권의 경우 개인 체육활동 체험 위주이며, 문화누리 카드의 경우 한부모가정은 지원되지 않는다는 점이 있어 본 제도는 이를 보충할 수 있음
서울시 광진구 체육 진흥 조례 개정으로 법적 근거 마련

② 지역의 특수성 :
광진구는 어린이들이 무료로 물놀이를 즐길 수 있는 물놀이형 수경시설이 서울 어린이대공원, 중랑천 물놀이장, 구의공원 외 민간 2곳에서 운영하고 있으나 다른 서울시 자치구들에 비해 그 수가 많이 부족한 상황임


", 서울특별시 광진구 행정국 체육진흥과,,N,서울특별시 광진구,20240601,19700101,,"한부모·조손,저소득",기타,"인터넷,E-mail, 교육/훈련기관 종사자,사회복지시설 종사자,대리인(배우자, 친족, 관계인),본인,관할시군구청 공무원",,,"한부모·조손,저소득",,해당없음,해당없음(전체가구),년,N,Y,기타,
지자체,WLF00005444,취약계층 고효율가전 구매지원(취약계층 에너지복지사업),사회적 배려계층을 대상으로 고효율 가전제품 구입비용을 일정 비율 지원합니다.,산업통상자원부 에너지정책관,1551-1212,N, ,20230101,19700101,,"저소득,보훈대상자,다자녀,장애인, 40~64세,19~39세,65세이상","생활지원,에너지, 현금지급","인터넷, 본인,사회복지시설 종사자,대리인(배우자, 친족, 관계인)",,"생활지원,에너지","저소득,보훈대상자,다자녀,장애인",,해당없음,기타,년,N,Y,현금지급,"40~64세,19~39세,65세이상"
지자체,WLF00005489,강서구 플러스 자립수당,"생계가 어려운 자립준비청년에게 구비로 자립수당을 추가 지급하여 보호 종료 후 경제적 부담을 완화하고, 안정적인 사회정착 및 성공적 자립을 지원", 서울특별시 강서구 생활복지국 아동청소년과,,N,서울특별시 강서구,20231218,19700101,,"저소득, 아동,청소년","서민금융,보호·돌봄, 현금지급","방문, 본인,대리인(배우자, 친족, 관계인)",,"서민금융,보호·돌봄",저소득,"아동,청소년",해당없음,해당없음(전체가구),월,Y,Y,현금지급,
지자체,WLF00002418,셋째아가정 산후 건강관리 지원사업,셋째아 가정의 산후 건강관리 지원으로 산모및 신생아의 건강증진 도모 및 가정의 경제적 부담 감소, 서울특별시 은평구 보건소 예방관리과,,N,서울특별시 은평구,20170101,19700101,,"청년,영유아,임신 · 출산,중장년","서민금융,임신·출산, 현금지급","방문,E-mail, 대리인(배우자, 친족, 관계인),본인",,"서민금융,임신·출산",,"청년,영유아,임신 · 출산,중장년",해당없음,기타,수시,Y,Y,현금지급,
지자체,WLF00002326,입양축하금 지원,「입양특례법」에 따라 보호가 필요한 아동을 입양한 가정을 지원하여 입양아동의 권익과 복지를 증진하는 것을 목적으로함., 서울특별시 강서구 생활복지국 아동청소년과,,N,서울특별시 강서구,20100901,19700101,,"장애인, 아동","서민금융,입양·위탁, 현금지급","방문, 본인",,"서민금융,입양·위탁",장애인,아동,해당없음,해당없음(전체가구),1회성,Y,N,현금지급,
지자체,WLF00002249,장애인가정 출산지원금 지급,장애인가구에 출산비용을 지원함으로써 경제적 부담을 경감하고 출산 친화적 문화조성을 통한 삶의 질 개선에 기여하는 것을 목적으로 함., 서울특별시 중구 생활복지친화국 사회복지과,,N,서울특별시 중구,20130101,19700101,,"장애인, 아동,청년,임신 · 출산,노년,청소년,중장년,영유아","서민금융,임신·출산, 현금지급","방문,인터넷, 본인,대리인(배우자, 친족, 관계인)",,"서민금융,임신·출산",장애인,"아동,청년,임신 · 출산,노년,청소년,중장년,영유아",해당없음,해당없음(전체가구),1회성,Y,Y,현금지급,
지자체,WLF00000977,장애인 휠체어 수리 지원,장애인 이동권 보장, 서울특별시 중구 생활복지친화국 사회복지과,,N,서울특별시 중구,20130101,19700101,,"장애인, 아동,노년,영유아,중장년,청년,청소년",기타,"방문, 본인",,,장애인,"아동,노년,영유아,중장년,청년,청소년",,해당없음(전체가구),년,Y,N,기타,
지자체,WLF00001004,저소득 독거 어르신 안부확인(음료배달),"저소득 홀로사는 어르신에게 야쿠르트 배달을 실시함으로써, 어르신의 건강 · 생활 안전을 확인하고 위급상황 발생 시 신속히 대처", 서울특별시 광진구 복지국 어르신복지과,,N,서울특별시 광진구,20170101,19700101,,"저소득, 노년, 기준중위소득",현물지급,"방문, 본인,관할시군구청 공무원,사회복지시설 종사자,대리인(배우자, 친족, 관계인)",,,저소득,노년,기준중위소득,독거노인 가구,수시,Y,Y,현물지급,
지자체,WLF00001388,광진형 돌봄SOS사업,긴급한 위급상황이 발생하여 돌봄이 필요한 주민의 욕구에 맞는 맞춤형 돌봄 서비스를 제공하고자 함, 서울특별시 광진구 복지국 복지정책과,,N,서울특별시 광진구,20210101,19700101,,"장애인, 노년,청년,중장년, 기준중위소득","프로그램/서비스(서비스),기타","방문,전화, 대리인(배우자, 친족, 관계인),본인,관할시군구청 공무원",,,장애인,"노년,청년,중장년",기준중위소득,"1인 가구,기타,독거노인 가구",수시,Y,Y,"프로그램/서비스(서비스),기타",
지자체,WLF00002109,서울시 저소득 중증장애인 전세주택 제공사업,저소득 중증장애인이 월세 부담에서 벗어나 전세주택에 입주할 수 있도록  최장 6년간 무상으로 전세보증금을 지원하여 주거환경 개선 및 지역사회 자립기반 마련에 도움을 주고자 함, 서울특별시 은평구 주민복지국 장애인복지과,,N,서울특별시 은평구,20130101,19700101,,"장애인, 중장년,영유아,청소년,노년,청년,아동",현금대여(융자),"방문, 본인",,,장애인,"중장년,영유아,청소년,노년,청년,아동",해당없음,해당없음(전체가구),1회성,Y,N,현금대여(융자),
지자체,WLF00002112,저소득주민 국민건강보험료 지원,"생활에 어려움을 겪고 있으나, 수급권자에 해당되지 않는 저소득 주민에게 건강보험료를 지원함으로써 건강증진과 사회복지 향상을 목적으로 함.", 서울특별시 은평구 돌봄복지국 통합돌봄과,,N,서울특별시 은평구,20090101,19700101,,"한부모·조손,장애인,보훈대상자, 영유아,청소년,중장년,아동,노년,청년, 기타 소득기준","서민금융, 현금지급",,,서민금융,"한부모·조손,장애인,보훈대상자","영유아,청소년,중장년,아동,노년,청년",기타 소득기준,"노부모 부양가구,독거노인 가구,한부모 가구",월,N,Y,현금지급,
지자체,WLF00002162,국가보훈대상자 예우 및 공훈선양,광진구 거주 국가 보훈대상자를 격려하고 지원하기 위한 사업, 서울특별시 광진구 복지국 복지정책과,,N,서울특별시 광진구,20130101,19700101,,보훈대상자,"서민금융, 현금지급,현물지급","방문, 대리인(배우자, 친족, 관계인),본인",,서민금융,보훈대상자,,해당없음,해당없음(전체가구),수시,Y,Y,"현금지급,현물지급",
지자체,WLF00002168,장난감대여센터 운영,영유아들에게 다양한 놀잇감을 접할 수 있는 기회를 제공하고 장난감구매에 따른 경제적 부담을 경감시켜 양질의 보육환경을 제공, 서울특별시 중랑구 생활복지국 보육지원과,,N,서울특별시 중랑구,20140101,19700101,,영유아,"서민금융, 현물대여","방문,전화,인터넷, 본인,대리인(배우자, 친족, 관계인)",,서민금융,,영유아,해당없음,해당없음(전체가구),년,Y,Y,현물대여,
지자체,WLF00002509,효도수당 지급,100세 이상 부모 등을 부양하고 있는 세대주 또는 가족대표에게 효도수당을 지급함으로써 건전한 가족문화 정착 및 효문화 확산에 기여, 서울특별시 양천구 주민복지국 어르신복지과,,N,서울특별시 양천구,20120101,19700101,,노년,"서민금융, 현금지급","방문, 대리인(배우자, 친족, 관계인),본인",,서민금융,,노년,해당없음,"노부모 부양가구,기타",년,Y,Y,현금지급,
지자체,WLF00002327,장애인 편의증진 및 이동권 보장,"-장애인 편의시설 확충 정비로 장애인 이동권 확보
", 서울특별시 강서구 생활복지국 장애인복지과,,N,서울특별시 강서구,20180101,19700101,,,기타,,,,,,해당없음,해당없음(전체가구),1회성,N,Y,기타,
지자체,S9765703141,심리정서지원사업,,굿네이버스,,, ,20150817,20991231,,"아동,청소년","정신건강,신체건강",,,"정신건강,신체건강",,"아동,청소년",,,,N,Y,,
지자체,WLF00005028,안심장비 지원사업,주거 안전 취약계층에게 안심장비를 지원함으로써 안전한 주거환경 조성하고 물리적․심리적 불안감 해소합니다., 서울특별시 종로구 복지경제국 복지정책과,,N,서울특별시 종로구,20230101,19700101,,"저소득, 건강보험료 월 납입금액 (장기요양보험료 제외)","입양·위탁,보호·돌봄, 현물지급","방문,인터넷, 본인",,"입양·위탁,보호·돌봄",저소득,,건강보험료 월 납입금액 (장기요양보험료 제외),1인 가구,년,Y,N,현물지급,
지자체,WLF00003115,학교 밖 청소년 교통비 지원,진학이나 학업을 중단한 청소년과 은둔형 학교 밖 청소년이 소외되거나 경제적 어려움을 겪지 않도록 교통비를 지원하여 건강한 사회구성원으로 성장할 수 있도록 하고자 함., 서울특별시 강동구 복지가족국 아동청소년과,,N,서울특별시 강동구,20200601,19700101,,청소년,"서민금융, 현금지급","방문, 본인,대리인(배우자, 친족, 관계인)",,서민금융,,청소년,해당없음,해당없음(전체가구),반기,Y,Y,현금지급,
지자체,WLF00002470,국가보훈대상자 및 보훈단체 지원,국가보훈대상자 및 보훈단체 지원, 서울특별시 서초구 주민생활국 복지정책과,,N,서울특별시 서초구,20130101,19700101,,보훈대상자,기타,,,,보훈대상자,,해당없음,해당없음(전체가구),수시,N,Y,기타,
지자체,WLF00003949,미혼모부 양육비 및 냉난방비 등 지원사업,자녀를 직접 양육하는 미혼모부에게 우리구만의 특화된 사업으로 경제적 부담을 줄이고 자립할 수 있도록 지원하고자 함, 서울특별시 동작구 미래교육국 영유아보육과,,N,서울특별시 동작구,20200701,19700101,,"한부모·조손, 영유아,임신 · 출산,아동, 기준중위소득","서민금융,임신·출산, 현금지급","방문, 본인",,"서민금융,임신·출산",한부모·조손,"영유아,임신 · 출산,아동",기준중위소득,한부모 가구,월,Y,N,현금지급,
지자체,WLF00004543,정신건강증진사업 ,"지역주민,정신질환자 및 가족등을 대상으로 정신건강증진 및 조기발견,상담,재활,사회복귀를 도모하고자 함", 서울특별시 동작구 보건소 감염병관리과,,N,서울특별시 동작구,20110101,20601231,,"장애인,저소득, 아동,청소년, 기준중위소득","서민금융, 현금지급","우편,방문,인터넷, 대리인(배우자, 친족, 관계인),본인",,서민금융,"장애인,저소득","아동,청소년",기준중위소득,해당없음(전체가구),수시,Y,Y,현금지급,
지자체,WLF00006128,영등포구 장애청소년 상해보험 지원사업 ,"활동성이 많고, 사고의 위험성이 높은 장애청소년을 대상으로 <장애청소년 상해보험>가입을 통해 영등포구에 거주하는 장애청소년이 보다 안전하고 활발하게 사회활동에 참여하고, 불의의 사고를 대비하여 장애인 가족의  경제적 부담을 경감시키고 함.", 서울특별시 영등포구 복지국 어르신장애인과,,N,서울특별시 영등포구,20250401,19700101,,"장애인, 청소년",기타,"방문, 본인,대리인(배우자, 친족, 관계인)",,,장애인,청소년,해당없음,장애인가구,년,Y,Y,기타,
지자체,WLF00003258,아동발달지원계좌(디딤씨앗통장)지원,취약계층 아동의 사회진출 시 학자금･취업･창업･주거마련 등에 소요되는 초기비용 마련을 위한 자산형성을 지원합니다.,보건복지부 아동보호자립과,129,Y, ,20090101,19700101,,"저소득, 청소년,아동, 13~18세,6~12세, 기준중위소득","서민금융,입양·위탁, 현금지급","방문,인터넷, 본인,관할시군구청 공무원,대리인(배우자, 친족, 관계인)",,"서민금융,입양·위탁",저소득,"청소년,아동",기준중위소득,해당없음(전체가구),월,Y,Y,현금지급,"13~18세,6~12세"
지자체,WLF00005101,성매매 피해자 지원시설 퇴소 청소년 자립정착금,원가정 복귀가 어려운 성매매 피해자 지원시설 퇴소 청소년을 위한 자립정착 지원사업을 통해 기본생활 보장 및 안정적 사회 정착을 도모하는 사업임, 서울특별시 여성가족정책실 양성평등담당관,,N,서울특별시 ,20240101,19700101,,청소년,"서민금융, 현금지급",,,서민금융,,청소년,해당없음,해당없음(전체가구),1회성,N,Y,현금지급,
지자체,WLF00005531,장애인활동지원 구비추가,장애인활동지원 수급자 중 활동지원시간이 부족한 수급자에세 구비추가 급여를 지원하여 사회활동 및 일상생활 지원을 제공하는 등 장애인의 삶의 질을 높이고자 함, 서울특별시 강서구 생활복지국 장애인복지과,,N,서울특별시 강서구,20170601,19700101,,"장애인, 노년,중장년,청년",전자바우처(바우처),"방문, 본인",,,장애인,"노년,중장년,청년",해당없음,장애인가구,월,Y,N,전자바우처(바우처),
지자체,WLF00006120,장애인직업재활시설 근로훈련장애인 동작형 보충수당 지원사업,"장애인직업재활시설 내 근로훈련장애인의 처우개선 및 자립지원
(최저임금 적용제외 근로훈련장애인에 대한 자립생활 지원조례)", 서울특별시 동작구 복지국 장애인복지과,,N,서울특별시 동작구,20250101,19700101,,"장애인, 청년,중장년","서민금융,주거,보호·돌봄, 현금지급","E-mail, 사회복지시설 종사자",,"서민금융,주거,보호·돌봄",장애인,"청년,중장년",해당없음,장애인가구,월,N,Y,현금지급,
지자체,WLF00006121,장애인친화미용실 운영,장애로 인하여 미용실 이용에 어려움을 겪는 중증장애인이 편리하고 저렴하게 미용실을 이용하여 중증장애인의 복지증진 및 삶의 질 향상에 기여, 서울특별시 동작구 복지국 장애인복지과,,N,서울특별시 동작구,20240701,19700101,,장애인,프로그램/서비스(서비스),"전화, 본인",,,장애인,,해당없음,해당없음(전체가구),월,N,N,프로그램/서비스(서비스),
지자체,WLF00002158,저소득주민 국민건강보험료 지원,의료 사각지대에 놓여 있는 저소득 노인 및 장애인에게 건강보험료 등을 지원함으로써 실질적인 복지혜택을 제공하고 더불어 사는 사회분위기 조성, 서울특별시 성동구 복지국 기초복지과,,N,서울특별시 성동구,20150101,19700101,,"장애인,저소득, 노년, 기준중위소득,건강보험료 월 납입금액 (장기요양보험료 제외)",기타,"방문, 본인",,,"장애인,저소득",노년,"기준중위소득,건강보험료 월 납입금액 (장기요양보험료 제외)","장애인가구,독거노인 가구",월,Y,N,기타,
지자체,WLF00002208,장애인 편의제공 사업,거동이 불편한 장애인의 이동수단인 휠체어 및 전동스쿠터 등을 편리하고 안전하게 이용할 수 있도록 수리비를 지원하여 장애인의 이동편의 증진과 생활안정 지원에 기여하고자 함, 서울특별시 서대문구 행복복지국 생활보장과,,N,서울특별시 서대문구,20170102,19700101,,"장애인,저소득","서민금융, 현금지급","방문, 본인",,서민금융,"장애인,저소득",,,해당없음(전체가구),수시,Y,N,현금지급,
지자체,WLF00003224,출산육아기 고용안정장려금,"출산전후휴가, 유산·사산 휴가, 육아휴직, 육아기 근로시간 단축 등을 부여(허용)한 사업주에게 장려금, 대체인력 인건비 등을 지원합니다.",고용노동부 일가정양립추진단,1350,N, ,19950701,19700101,,"임신 · 출산, 13~18세,65세이상,40~64세,19~39세","생활지원,임신·출산, 현금지급","인터넷,방문,우편, 본인",,"생활지원,임신·출산",,임신 · 출산,해당없음,해당없음(전체가구),수시,Y,N,현금지급,"13~18세,65세이상,40~64세,19~39세"
지자체,WLF00004655,장애인취업성공패키지,개인 특성을 고려한 단계별 통합적 취업성공패키지 서비스를 제공하여 성공적인 취업과 안정적인 직업 적응을 돕습니다.,고용노동부 장애인고용과,1588-1519,N, ,20170101,19700101,,"장애인, 청년,노년,청소년,중장년, 65세이상,13~18세,19~39세,40~64세, 기준중위소득","일자리, 현금지급",,,일자리,장애인,"청년,노년,청소년,중장년",기준중위소득,해당없음(전체가구),1회성,N,Y,현금지급,"65세이상,13~18세,19~39세,40~64세"
지자체,WLF00005457,저소득 주민 국민건강보험료 등 지원,제1조(목적) 이 조례는 「국민기초생활 보장법」에 따른 의료급여 수급자에 해당하지 않는 저소득 주민에게 국민건강보험료 및 장기요양보험료를 지원함으로써 구민의 건강증진과 사회복지 향상을 도모함을 목적으로 한다.., 서울특별시 종로구 복지교육국 사회복지과,,N,서울특별시 종로구,20080101,19700101,,"한부모·조손,장애인,저소득, 기준중위소득,건강보험료 월 납입금액 (장기요양보험료 제외)","서민금융, 현금지급","방문, 관할시군구청 공무원,대리인(배우자, 친족, 관계인),본인",,서민금융,"한부모·조손,장애인,저소득",,"기준중위소득,건강보험료 월 납입금액 (장기요양보험료 제외)",해당없음(전체가구),월,Y,Y,현금지급,
지자체,WLF00002626,신생아 건강보험료 지원(둘째이상 신생아 상해질병 보험료 지원),"불의의 질병, 사고로 인한 다자녀 가정의 경제적 비용을 경감함으로써 저출산 문제를 극복하고 영유아의 건강한 양육을 위한 사회 환경 조성
", 서울특별시 동작구 복지국 영유아보육과,,N,서울특별시 동작구,20130101,19700101,,"아동,영유아",기타,"방문, 대리인(배우자, 친족, 관계인),본인",,,,"아동,영유아",해당없음,해당없음(전체가구),년,Y,Y,기타,
지자체,BOK00000945,[밀알복지재단] 2025년 국내지원사업,밀알복지재단 국내지원사업은 경제적 어려움으로 수술 및 치료를 받을 수 없는 장애인 가정과 긴급한 위기상황에 놓인 저소득 가정이 위기를 극복하고 자립할 수 있도록 지원합니다.,사회복지법인 밀알복지재단,,, ,20250101,20251231,,"한부모·조손,장애인,저소득,다자녀, 청소년,아동,청년,영유아,노년,중장년","주거,생활지원,안전·위기,신체건강",,,"주거,생활지원,안전·위기,신체건강","한부모·조손,장애인,저소득,다자녀","청소년,아동,청년,영유아,노년,중장년",,,,N,Y,,
지자체,WLF00006109,강남구 미취업 청년 어학·자격증 응시료 지원 사업 ,강남구 거주 미취업 청년들의 취업역량 향상 및 경제적 부담 경감, 서울특별시 강남구 기획경제국 일자리정책과,,N,서울특별시 강남구,20250501,19700101,,청년,"서민금융,일자리, 현금지급","E-mail, 본인",,"서민금융,일자리",,청년,해당없음,해당없음(전체가구),수시,N,N,현금지급,
